slug,num_rounds,batch_size,local_epochs,learning_rate,focal_loss_alpha,accuracy,f1,normal_recall,stage
r60_b64_e1_lr3e-4_a0.5,60,64,1,0.0003,0.5,0.8269,0.6607,0.8004,QAT+PTQ
r60_b64_e1_lr3e-4_a0.65,60,64,1,0.0003,0.65,0.464,0.3978,0.3489,QAT+PTQ
r60_b64_e1_lr3e-4_a0.8,60,64,1,0.0003,0.8,0.8323,0.5949,0.8622,QAT+PTQ
r60_b64_e1_lr5e-4_a0.5,60,64,1,0.0005,0.5,0.748,0.584,0.6943,QAT+PTQ
r60_b64_e1_lr5e-4_a0.65,60,64,1,0.0005,0.65,0.876,0.7373,0.8534,QAT+PTQ
r60_b64_e1_lr5e-4_a0.8,60,64,1,0.0005,0.8,0.8659,0.7251,0.8378,QAT+PTQ
r60_b64_e1_lr1e-3_a0.5,60,64,1,0.001,0.5,0.8327,0.6786,0.7977,QAT+PTQ
r60_b64_e1_lr1e-3_a0.65,60,64,1,0.001,0.65,0.8115,0.6504,0.7734,QAT+PTQ
r60_b64_e1_lr1e-3_a0.8,60,64,1,0.001,0.8,0.6266,0.4869,0.5465,QAT+PTQ
r60_b64_e2_lr3e-4_a0.5,60,64,2,0.0003,0.5,0.7833,0.6205,0.737,QAT+PTQ
r60_b64_e2_lr3e-4_a0.65,60,64,2,0.0003,0.65,0.8913,0.7327,0.9025,QAT+PTQ
r60_b64_e2_lr3e-4_a0.8,60,64,2,0.0003,0.8,0.6461,0.5004,0.57,QAT+PTQ
r60_b64_e2_lr5e-4_a0.5,60,64,2,0.0005,0.5,0.8336,0.6803,0.7983,QAT+PTQ
r60_b64_e2_lr5e-4_a0.65,60,64,2,0.0005,0.65,0.935,0.8128,0.9653,QAT+PTQ
r60_b64_e2_lr5e-4_a0.8,60,64,2,0.0005,0.8,0.9269,0.8261,0.9156,QAT+PTQ
r60_b64_e2_lr1e-3_a0.5,60,64,2,0.001,0.5,0.9515,0.8706,0.9585,QAT+PTQ
r60_b64_e2_lr1e-3_a0.65,60,64,2,0.001,0.65,0.8161,0.6571,0.778,QAT+PTQ
r60_b64_e2_lr1e-3_a0.8,60,64,2,0.001,0.8,0.3976,0.3704,0.268,QAT+PTQ
r60_b128_e1_lr3e-4_a0.5,60,128,1,0.0003,0.5,0.1776,0.3016,0.0001,QAT+PTQ
r60_b128_e1_lr3e-4_a0.65,60,128,1,0.0003,0.65,0.8321,0.6585,0.815,QAT+PTQ
r60_b128_e1_lr3e-4_a0.8,60,128,1,0.0003,0.8,0.8131,0.6431,0.7839,QAT+PTQ
r60_b128_e1_lr5e-4_a0.5,60,128,1,0.0005,0.5,0.5487,0.4402,0.4514,QAT+PTQ
r60_b128_e1_lr5e-4_a0.65,60,128,1,0.0005,0.65,0.3634,0.3577,0.2263,QAT+PTQ
r60_b128_e1_lr5e-4_a0.8,60,128,1,0.0005,0.8,0.4649,0.3961,0.3518,QAT+PTQ
r60_b128_e1_lr1e-3_a0.5,60,128,1,0.001,0.5,0.7784,0.6153,0.731,QAT+PTQ
r60_b128_e1_lr1e-3_a0.65,60,128,1,0.001,0.65,0.8128,0.6541,0.773,QAT+PTQ
r60_b128_e1_lr1e-3_a0.8,60,128,1,0.001,0.8,0.8325,0.6626,0.8121,QAT+PTQ
r60_b128_e2_lr3e-4_a0.5,60,128,2,0.0003,0.5,0.7265,0.5595,0.6722,QAT+PTQ
r60_b128_e2_lr3e-4_a0.65,60,128,2,0.0003,0.65,0.7333,0.5693,0.6774,QAT+PTQ
r60_b128_e2_lr3e-4_a0.8,60,128,2,0.0003,0.8,0.9272,0.8251,0.9185,QAT+PTQ
r60_b128_e2_lr5e-4_a0.5,60,128,2,0.0005,0.5,0.8934,0.7513,0.8904,QAT+PTQ
r60_b128_e2_lr5e-4_a0.65,60,128,2,0.0005,0.65,0.9215,0.7612,0.9682,QAT+PTQ
r60_b128_e2_lr5e-4_a0.8,60,128,2,0.0005,0.8,0.9319,0.7969,0.9707,QAT+PTQ
r60_b128_e2_lr1e-3_a0.5,60,128,2,0.001,0.5,0.5416,0.4351,0.4438,QAT+PTQ
r60_b128_e2_lr1e-3_a0.65,60,128,2,0.001,0.65,0.8749,0.7355,0.8522,QAT+PTQ
r60_b128_e2_lr1e-3_a0.8,60,128,2,0.001,0.8,0.9319,0.8232,0.9402,QAT+PTQ
r60_b256_e1_lr3e-4_a0.5,60,256,1,0.0003,0.5,0.8397,0.6554,0.8356,QAT+PTQ
r60_b256_e1_lr3e-4_a0.65,60,256,1,0.0003,0.65,0.7823,0.5676,0.7774,QAT+PTQ
r60_b256_e1_lr3e-4_a0.8,60,256,1,0.0003,0.8,0.5576,0.4448,0.4624,QAT+PTQ
r60_b256_e1_lr5e-4_a0.5,60,256,1,0.0005,0.5,0.6992,0.5402,0.6352,QAT+PTQ
r60_b256_e1_lr5e-4_a0.65,60,256,1,0.0005,0.65,0.6436,0.4971,0.5684,QAT+PTQ
r60_b256_e1_lr5e-4_a0.8,60,256,1,0.0005,0.8,0.6248,0.4861,0.5439,QAT+PTQ
r60_b256_e1_lr1e-3_a0.5,60,256,1,0.001,0.5,0.8331,0.6729,0.8041,QAT+PTQ
r60_b256_e1_lr1e-3_a0.65,60,256,1,0.001,0.65,0.6729,0.5199,0.6027,QAT+PTQ
r60_b256_e1_lr1e-3_a0.8,60,256,1,0.001,0.8,0.8055,0.6448,0.7647,QAT+PTQ
r60_b256_e2_lr3e-4_a0.5,60,256,2,0.0003,0.5,0.8963,0.7004,0.9424,QAT+PTQ
r60_b256_e2_lr3e-4_a0.65,60,256,2,0.0003,0.65,0.8053,0.6304,0.7772,QAT+PTQ
r60_b256_e2_lr3e-4_a0.8,60,256,2,0.0003,0.8,0.9107,0.7296,0.9608,QAT+PTQ
r60_b256_e2_lr5e-4_a0.5,60,256,2,0.0005,0.5,0.7011,0.5423,0.6372,QAT+PTQ
r60_b256_e2_lr5e-4_a0.65,60,256,2,0.0005,0.65,0.8904,0.7575,0.8746,QAT+PTQ
r60_b256_e2_lr5e-4_a0.8,60,256,2,0.0005,0.8,0.6504,0.5023,0.5763,QAT+PTQ
r60_b256_e2_lr1e-3_a0.5,60,256,2,0.001,0.5,0.928,0.7731,0.9793,QAT+PTQ
r60_b256_e2_lr1e-3_a0.65,60,256,2,0.001,0.65,0.9006,0.7687,0.8941,QAT+PTQ
r60_b256_e2_lr1e-3_a0.8,60,256,2,0.001,0.8,0.8253,0.67,0.7879,QAT+PTQ
r80_b64_e1_lr3e-4_a0.5,80,64,1,0.0003,0.5,0.777,0.6123,0.7307,QAT+PTQ
r80_b64_e1_lr3e-4_a0.65,80,64,1,0.0003,0.65,0.7785,0.6155,0.731,QAT+PTQ
r80_b64_e1_lr3e-4_a0.8,80,64,1,0.0003,0.8,0.7761,0.6116,0.7293,QAT+PTQ
r80_b64_e1_lr5e-4_a0.5,80,64,1,0.0005,0.5,0.8559,0.7102,0.8259,QAT+PTQ
r80_b64_e1_lr5e-4_a0.65,80,64,1,0.0005,0.65,0.886,0.7556,0.8629,QAT+PTQ
r80_b64_e1_lr5e-4_a0.8,80,64,1,0.0005,0.8,0.8037,0.6433,0.762,QAT+PTQ
r80_b64_e1_lr1e-3_a0.5,80,64,1,0.001,0.5,0.7506,0.5873,0.6968,QAT+PTQ
r80_b64_e1_lr1e-3_a0.65,80,64,1,0.001,0.65,0.8518,0.7047,0.8207,QAT+PTQ
r80_b64_e1_lr1e-3_a0.8,80,64,1,0.001,0.8,0.7445,0.5808,0.69,QAT+PTQ
r80_b64_e2_lr3e-4_a0.5,80,64,2,0.0003,0.5,0.7769,0.6137,0.7291,QAT+PTQ
r80_b64_e2_lr3e-4_a0.65,80,64,2,0.0003,0.65,0.8671,0.7258,0.8405,QAT+PTQ
r80_b64_e2_lr3e-4_a0.8,80,64,2,0.0003,0.8,0.8421,0.6898,0.8105,QAT+PTQ
r80_b64_e2_lr5e-4_a0.5,80,64,2,0.0005,0.5,0.941,0.8453,0.9479,QAT+PTQ
r80_b64_e2_lr5e-4_a0.65,80,64,2,0.0005,0.65,0.8665,0.7256,0.839,QAT+PTQ
r80_b64_e2_lr5e-4_a0.8,80,64,2,0.0005,0.8,0.8251,0.6682,0.7892,QAT+PTQ
r80_b64_e2_lr1e-3_a0.5,80,64,2,0.001,0.5,0.7285,0.5662,0.6702,QAT+PTQ
r80_b64_e2_lr1e-3_a0.65,80,64,2,0.001,0.65,0.7509,0.5872,0.6975,QAT+PTQ
r80_b64_e2_lr1e-3_a0.8,80,64,2,0.001,0.8,0.8778,0.7432,0.8522,QAT+PTQ
r80_b128_e1_lr3e-4_a0.5,80,128,1,0.0003,0.5,0.7091,0.5327,0.6607,QAT+PTQ
r80_b128_e1_lr3e-4_a0.65,80,128,1,0.0003,0.65,0.8424,0.6234,0.8656,QAT+PTQ
r80_b128_e1_lr3e-4_a0.8,80,128,1,0.0003,0.8,0.7924,0.5655,0.7991,QAT+PTQ
r80_b128_e1_lr5e-4_a0.5,80,128,1,0.0005,0.5,0.7934,0.6313,0.7495,QAT+PTQ
r80_b128_e1_lr5e-4_a0.65,80,128,1,0.0005,0.65,0.5064,0.4013,0.4145,QAT+PTQ
r80_b128_e1_lr5e-4_a0.8,80,128,1,0.0005,0.8,0.5332,0.4297,0.4344,QAT+PTQ
r80_b128_e1_lr1e-3_a0.5,80,128,1,0.001,0.5,0.7118,0.5515,0.65,QAT+PTQ
r80_b128_e1_lr1e-3_a0.65,80,128,1,0.001,0.65,0.8,0.6391,0.7575,QAT+PTQ
r80_b128_e1_lr1e-3_a0.8,80,128,1,0.001,0.8,0.8009,0.6398,0.7587,QAT+PTQ
r80_b128_e2_lr3e-4_a0.5,80,128,2,0.0003,0.5,0.8753,0.6431,0.9277,QAT+PTQ
r80_b128_e2_lr3e-4_a0.65,80,128,2,0.0003,0.65,0.9345,0.8097,0.9669,QAT+PTQ
r80_b128_e2_lr3e-4_a0.8,80,128,2,0.0003,0.8,0.9033,0.7252,0.943,QAT+PTQ
r80_b128_e2_lr5e-4_a0.5,80,128,2,0.0005,0.5,0.8603,0.4395,0.9794,QAT+PTQ
r80_b128_e2_lr5e-4_a0.65,80,128,2,0.0005,0.65,0.9055,0.7801,0.8971,QAT+PTQ
r80_b128_e2_lr5e-4_a0.8,80,128,2,0.0005,0.8,0.8914,0.7648,0.8692,QAT+PTQ
r80_b128_e2_lr1e-3_a0.5,80,128,2,0.001,0.5,0.8547,0.7088,0.8242,QAT+PTQ
r80_b128_e2_lr1e-3_a0.65,80,128,2,0.001,0.65,0.7615,0.5975,0.7106,QAT+PTQ
r80_b128_e2_lr1e-3_a0.8,80,128,2,0.001,0.8,0.8132,0.6519,0.7762,QAT+PTQ
r80_b256_e1_lr3e-4_a0.5,80,256,1,0.0003,0.5,0.7509,0.5522,0.7262,QAT+PTQ
r80_b256_e1_lr3e-4_a0.65,80,256,1,0.0003,0.65,0.6373,0.4834,0.5685,QAT+PTQ
r80_b256_e1_lr3e-4_a0.8,80,256,1,0.0003,0.8,0.1829,0.3029,0.0065,QAT+PTQ
r80_b256_e1_lr5e-4_a0.5,80,256,1,0.0005,0.5,0.5456,0.4313,0.4539,QAT+PTQ
r80_b256_e1_lr5e-4_a0.65,80,256,1,0.0005,0.65,0.8251,0.6254,0.8256,QAT+PTQ
r80_b256_e1_lr5e-4_a0.8,80,256,1,0.0005,0.8,0.7538,0.59,0.7011,QAT+PTQ
r80_b256_e1_lr1e-3_a0.5,80,256,1,0.001,0.5,0.7423,0.5734,0.6919,QAT+PTQ
r80_b256_e1_lr1e-3_a0.65,80,256,1,0.001,0.65,0.6304,0.4899,0.5506,QAT+PTQ
r80_b256_e1_lr1e-3_a0.8,80,256,1,0.001,0.8,0.5256,0.4276,0.4235,QAT+PTQ
r80_b256_e2_lr3e-4_a0.5,80,256,2,0.0003,0.5,0.8615,0.7161,0.835,QAT+PTQ
r80_b256_e2_lr3e-4_a0.65,80,256,2,0.0003,0.65,0.588,0.4477,0.5119,QAT+PTQ
r80_b256_e2_lr3e-4_a0.8,80,256,2,0.0003,0.8,0.851,0.698,0.8254,QAT+PTQ
r80_b256_e2_lr5e-4_a0.5,80,256,2,0.0005,0.5,0.7429,0.579,0.6883,QAT+PTQ
r80_b256_e2_lr5e-4_a0.65,80,256,2,0.0005,0.65,0.7615,0.5103,0.7747,QAT+PTQ
r80_b256_e2_lr5e-4_a0.8,80,256,2,0.0005,0.8,0.9126,0.6995,0.9858,QAT+PTQ
r80_b256_e2_lr1e-3_a0.5,80,256,2,0.001,0.5,0.5041,0.4167,0.3975,QAT+PTQ
r80_b256_e2_lr1e-3_a0.65,80,256,2,0.001,0.65,0.8856,0.7425,0.8761,QAT+PTQ
r80_b256_e2_lr1e-3_a0.8,80,256,2,0.001,0.8,0.8558,0.7079,0.828,QAT+PTQ
r100_b64_e1_lr3e-4_a0.5,100,64,1,0.0003,0.5,0.7786,0.6005,0.7443,QAT+PTQ
r100_b64_e1_lr3e-4_a0.65,100,64,1,0.0003,0.65,0.7769,0.6136,0.7292,QAT+PTQ
r100_b64_e1_lr3e-4_a0.8,100,64,1,0.0003,0.8,0.8569,0.6926,0.8459,QAT+PTQ
r100_b64_e1_lr5e-4_a0.5,100,64,1,0.0005,0.5,0.7621,0.5907,0.7178,QAT+PTQ
r100_b64_e1_lr5e-4_a0.65,100,64,1,0.0005,0.65,0.9279,0.8279,0.9172,QAT+PTQ
r100_b64_e1_lr5e-4_a0.8,100,64,1,0.0005,0.8,0.8244,0.6686,0.787,QAT+PTQ
r100_b64_e1_lr1e-3_a0.5,100,64,1,0.001,0.5,0.872,0.734,0.8455,QAT+PTQ
r100_b64_e1_lr1e-3_a0.65,100,64,1,0.001,0.65,0.7452,0.5817,0.6906,QAT+PTQ
r100_b64_e1_lr1e-3_a0.8,100,64,1,0.001,0.8,0.7515,0.5878,0.6983,QAT+PTQ
r100_b64_e2_lr3e-4_a0.5,100,64,2,0.0003,0.5,0.8932,0.7611,0.8791,QAT+PTQ
r100_b64_e2_lr3e-4_a0.65,100,64,2,0.0003,0.65,0.8416,0.6627,0.834,QAT+PTQ
r100_b64_e2_lr3e-4_a0.8,100,64,2,0.0003,0.8,0.9224,0.8144,0.9146,QAT+PTQ
r100_b64_e2_lr5e-4_a0.5,100,64,2,0.0005,0.5,0.8912,0.7566,0.8778,QAT+PTQ
r100_b64_e2_lr5e-4_a0.65,100,64,2,0.0005,0.65,0.9334,0.8368,0.9271,QAT+PTQ
r100_b64_e2_lr5e-4_a0.8,100,64,2,0.0005,0.8,0.8745,0.7381,0.8484,QAT+PTQ
r100_b64_e2_lr1e-3_a0.5,100,64,2,0.001,0.5,0.8801,0.7446,0.8577,QAT+PTQ
r100_b64_e2_lr1e-3_a0.65,100,64,2,0.001,0.65,0.8346,0.6817,0.7993,QAT+PTQ
r100_b64_e2_lr1e-3_a0.8,100,64,2,0.001,0.8,0.7881,0.6258,0.7427,QAT+PTQ
r100_b128_e1_lr3e-4_a0.5,100,128,1,0.0003,0.5,0.8324,0.5741,0.8748,QAT+PTQ
r100_b128_e1_lr3e-4_a0.65,100,128,1,0.0003,0.65,0.7085,0.5487,0.6459,QAT+PTQ
r100_b128_e1_lr3e-4_a0.8,100,128,1,0.0003,0.8,0.7906,0.6241,0.7498,QAT+PTQ
r100_b128_e1_lr5e-4_a0.5,100,128,1,0.0005,0.5,0.5106,0.3728,0.444,QAT+PTQ
r100_b128_e1_lr5e-4_a0.65,100,128,1,0.0005,0.65,0.9033,0.7409,0.9304,QAT+PTQ
r100_b128_e1_lr5e-4_a0.8,100,128,1,0.0005,0.8,0.7884,0.6242,0.745,QAT+PTQ
r100_b128_e1_lr1e-3_a0.5,100,128,1,0.001,0.5,0.8572,0.7107,0.8288,QAT+PTQ
r100_b128_e1_lr1e-3_a0.65,100,128,1,0.001,0.65,0.6856,0.5296,0.6183,QAT+PTQ
r100_b128_e1_lr1e-3_a0.8,100,128,1,0.001,0.8,0.8034,0.6418,0.7626,QAT+PTQ
r100_b128_e2_lr3e-4_a0.5,100,128,2,0.0003,0.5,0.3261,0.345,0.1807,QAT+PTQ
r100_b128_e2_lr3e-4_a0.65,100,128,2,0.0003,0.65,0.7649,0.5558,0.7512,QAT+PTQ
r100_b128_e2_lr3e-4_a0.8,100,128,2,0.0003,0.8,0.3906,0.3681,0.2591,QAT+PTQ
r100_b128_e2_lr5e-4_a0.5,100,128,2,0.0005,0.5,0.665,0.5145,0.5928,QAT+PTQ
r100_b128_e2_lr5e-4_a0.65,100,128,2,0.0005,0.65,0.7801,0.6169,0.7333,QAT+PTQ
r100_b128_e2_lr5e-4_a0.8,100,128,2,0.0005,0.8,0.837,0.6444,0.8381,QAT+PTQ
r100_b128_e2_lr1e-3_a0.5,100,128,2,0.001,0.5,0.8312,0.6758,0.7968,QAT+PTQ
r100_b128_e2_lr1e-3_a0.65,100,128,2,0.001,0.65,0.8134,0.6551,0.7734,QAT+PTQ
r100_b128_e2_lr1e-3_a0.8,100,128,2,0.001,0.8,0.6819,0.5269,0.6136,QAT+PTQ
r100_b256_e1_lr3e-4_a0.5,100,256,1,0.0003,0.5,0.8058,0.5938,0.8072,QAT+PTQ
r100_b256_e1_lr3e-4_a0.65,100,256,1,0.0003,0.65,0.5223,0.4245,0.4208,QAT+PTQ
r100_b256_e1_lr3e-4_a0.8,100,256,1,0.0003,0.8,0.8097,0.6391,0.7795,QAT+PTQ
r100_b256_e1_lr5e-4_a0.5,100,256,1,0.0005,0.5,0.6259,0.4732,0.5567,QAT+PTQ
r100_b256_e1_lr5e-4_a0.65,100,256,1,0.0005,0.65,0.3602,0.3569,0.2221,QAT+PTQ
r100_b256_e1_lr5e-4_a0.8,100,256,1,0.0005,0.8,0.6688,0.5155,0.599,QAT+PTQ
r100_b256_e1_lr1e-3_a0.5,100,256,1,0.001,0.5,0.5977,0.4274,0.5442,QAT+PTQ
r100_b256_e1_lr1e-3_a0.65,100,256,1,0.001,0.65,0.6662,0.5153,0.5944,QAT+PTQ
r100_b256_e1_lr1e-3_a0.8,100,256,1,0.001,0.8,0.317,0.342,0.1696,QAT+PTQ
r100_b256_e2_lr3e-4_a0.5,100,256,2,0.0003,0.5,0.3063,0.338,0.1571,QAT+PTQ
r100_b256_e2_lr3e-4_a0.65,100,256,2,0.0003,0.65,0.8109,0.6275,0.7924,QAT+PTQ
r100_b256_e2_lr3e-4_a0.8,100,256,2,0.0003,0.8,0.2066,0.3092,0.0353,QAT+PTQ
r100_b256_e2_lr5e-4_a0.5,100,256,2,0.0005,0.5,0.8249,0.6414,0.8126,QAT+PTQ
r100_b256_e2_lr5e-4_a0.65,100,256,2,0.0005,0.65,0.3317,0.3466,0.1879,QAT+PTQ
r100_b256_e2_lr5e-4_a0.8,100,256,2,0.0005,0.8,0.3264,0.3451,0.181,QAT+PTQ
r100_b256_e2_lr1e-3_a0.5,100,256,2,0.001,0.5,0.8139,0.6376,0.7905,QAT+PTQ
r100_b256_e2_lr1e-3_a0.65,100,256,2,0.001,0.65,0.8732,0.7333,0.8497,QAT+PTQ
r100_b256_e2_lr1e-3_a0.8,100,256,2,0.001,0.8,0.8459,0.6963,0.8138,QAT+PTQ
