tag,fl_qat,distillation,pruning,ptq,fl_acc,fl_f1,fl_prec,fl_rec,fl_size_kb,dist_acc,dist_f1,prune_acc,prune_f1,final_acc,final_f1,final_prec,final_rec,tflite_size_kb,final_size_kb
no_qat__distill_direct__prune_10x5__ptq_yes,False,direct,prune_10x5,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.969370425417426,0.91680431191863,0.9509130661780444,0.8325428725458751,0.9489087013836518,0.8242031289791929,0.9959909505273314,0.7029575100090404,34.9296875,374.3828125
no_qat__distill_direct__prune_10x5__ptq_no,False,direct,prune_10x5,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.969370425417426,0.91680431191863,0.9676661152329724,0.9032744506678156,0.9676661152329724,0.9032744506678156,,,102.30859375,374.3828125
no_qat__distill_direct__prune_10x2__ptq_yes,False,direct,prune_10x2,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.969370425417426,0.91680431191863,0.981938712845738,0.9487073152719154,0.9533355070622853,0.8566442161152352,0.8987170395203404,0.818334448710272,54.8125,585.328125
no_qat__distill_direct__prune_10x2__ptq_no,False,direct,prune_10x2,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.969370425417426,0.91680431191863,0.9584544387078449,0.862568900829126,0.9584544387078449,0.862568900829126,,,170.91796875,585.328125
no_qat__distill_direct__prune_5x10__ptq_yes,False,direct,prune_5x10,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.969370425417426,0.91680431191863,0.973793230367927,0.922983769039487,0.9558359621451105,0.8628065073387768,0.916452153710084,0.815093985183098,34.6640625,371.703125
no_qat__distill_direct__prune_5x10__ptq_no,False,direct,prune_5x10,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.969370425417426,0.91680431191863,0.9694384377956788,0.9090010244681105,0.9694384377956788,0.9090010244681105,,,101.30859375,371.703125
no_qat__distill_direct__prune_none__ptq_yes,False,direct,prune_none,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.969370425417426,0.91680431191863,,,0.9432456707120696,0.8566187246687353,0.751989707643849,0.9950688598499524,74.9765625,297.140625
no_qat__distill_direct__prune_none__ptq_no,False,direct,prune_none,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.969370425417426,0.91680431191863,,,0.969370425417426,0.91680431191863,,,242.43359375,297.140625
no_qat__distill_progressive__prune_10x5__ptq_yes,False,progressive,prune_10x5,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.970378608906821,0.9190341841086543,0.9806804838480604,0.9454097378446512,0.9411732935394241,0.7918724964259932,0.996792873051225,0.6568396087962147,15.3515625,176.90625
no_qat__distill_progressive__prune_10x5__ptq_no,False,progressive,prune_10x5,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.970378608906821,0.9190341841086543,0.9813566069024563,0.9471523509265349,0.9813566069024563,0.9471523509265349,,,37.890625,176.90625
no_qat__distill_progressive__prune_10x2__ptq_yes,False,progressive,prune_10x2,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.970378608906821,0.9190341841086543,0.9817066706140518,0.9483201943997062,0.9579143404099546,0.8706048771487438,0.914184598692878,0.8309910417620607,22.3359375,246.9140625
no_qat__distill_progressive__prune_10x2__ptq_no,False,progressive,prune_10x2,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.970378608906821,0.9190341841086543,0.9822887765573335,0.9498464919733995,0.9822887765573335,0.9498464919733995,,,60.12890625,246.9140625
no_qat__distill_progressive__prune_5x10__ptq_yes,False,progressive,prune_5x10,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.970378608906821,0.9190341841086543,0.9826828482783867,0.9483802107246567,0.965593738060327,0.8934694282033495,0.94553176985698,0.8468411351014993,15.0625,174.3203125
no_qat__distill_progressive__prune_5x10__ptq_no,False,progressive,prune_5x10,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.970378608906821,0.9190341841086543,0.9851412957158203,0.9547095263645675,0.9851412957158203,0.9547095263645675,,,36.9609375,174.3203125
no_qat__distill_progressive__prune_none__ptq_yes,False,progressive,prune_none,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.970378608906821,0.9190341841086543,,,0.9557239417573998,0.8837438941120856,0.7995666099584667,0.9877308536742865,29.09375,133.890625
no_qat__distill_progressive__prune_none__ptq_no,False,progressive,prune_none,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,0.970378608906821,0.9190341841086543,,,0.970378608906821,0.9190341841086543,,,82.44921875,133.890625
no_qat__distill_none__prune_10x5__ptq_yes,False,none,prune_10x5,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,,,0.9649756255638526,0.8863413589182663,0.6531748778277646,0.4950563100123192,0.3291827075764735,0.9978866542214082,95.0546875,1022.078125
no_qat__distill_none__prune_10x5__ptq_no,False,none,prune_10x5,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,,,0.979962353148273,0.9378833071852463,0.979962353148273,0.9378833071852463,,,314.73828125,1022.078125
no_qat__distill_none__prune_10x2__ptq_yes,False,none,prune_10x2,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,,,0.9917244938578821,0.9758181892575943,0.729704806274742,0.5546712015898597,0.38556701030927837,0.9879891514916699,159.140625,1734.01171875
no_qat__distill_none__prune_10x2__ptq_no,False,none,prune_10x2,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,,,0.9954131651960657,0.9864953207729411,0.9954131651960657,0.9864953207729411,,,549.86328125,1734.01171875
no_qat__distill_none__prune_5x10__ptq_yes,False,none,prune_5x10,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,,,0.9879057988553916,0.9646816912597992,0.6585338531612753,0.49894036080567805,0.3326301617555546,0.9978514317917649,95.875,1029.34375
no_qat__distill_none__prune_5x10__ptq_no,False,none,prune_5x10,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,,,0.9890560081934913,0.9675756085129584,0.9890560081934913,0.9675756085129584,,,317.72265625,1029.34375
no_qat__distill_none__prune_none__ptq_yes,False,none,prune_none,True,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,,,,,0.9461241946034178,0.8606435656371755,0.7693951560678669,0.9764479353785824,226.8125,864.109375
no_qat__distill_none__prune_none__ptq_no,False,none,prune_none,False,0.9631612953557548,0.9010881591526753,0.8304376664389732,0.9848778368731875,850.7578125,,,,,0.9631612953557548,0.9010881591526753,,,802.44921875,864.109375
